#Digilent WaveForms Logger,,,,,,,,,,,,
#Device Name: Discovery2NI,,,,,,,,,,,,
#Serial Number: SN:210321ACBB39,,,,,,,,,,,,
#Date Time: 2020-06-04 10:58:36.902,,,,,,,,,,,,
,,,,,,,,,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V),,,Thermistice,,Temperature (C),Resistance (kOhm)
12.7,0.003948506,0.837636304,0.837626998,-0.030786479,0.557822653,0.556972445,,,10.7902044,,23.29820795,8875.646862
12.8,0.003735033,0.837687727,0.8376794,-0.030864772,0.557240543,0.556385108,,,10.80394132,,23.26990428,8778.284035
12.9,0.003793211,0.837664605,0.837656017,-0.030937969,0.556580858,0.555720337,,,10.81955128,,23.23779161,8821.796418
13,0.003298465,0.837716632,0.837710138,-0.030718379,0.555816395,0.554966888,,,10.83769704,,23.20052919,8724.488268
13.1,0.003077204,0.837775557,0.837769905,-0.030523805,0.555239882,0.554400238,,,10.85142183,,23.17239289,8616.838026
13.2,0.002870143,0.837735669,0.837730752,-0.031211762,0.554573176,0.553694169,,,10.86733724,,23.13981695,8689.417219
13.3,0.003929724,0.837668584,0.837659366,-0.031119108,0.553908695,0.553033854,,,10.88324601,,23.10730938,8814.278253
13.4,0.003686932,0.837691089,0.837682975,-0.031424404,0.553257882,0.552364726,,,10.89887281,,23.07543116,8771.992776
13.5,0.003210968,0.837719136,0.837712982,-0.030420495,0.552580789,0.551742804,,,10.9151783,,23.0422244,8719.859091
13.6,0.003172946,0.83779649,0.837790482,-0.030723011,0.551984939,0.551129267,,,10.92956773,,23.01296712,8579.231627
13.7,0.003012612,0.837673135,0.837667717,-0.031069075,0.551425902,0.550549942,,,10.94310268,,22.9854876,8805.695259
13.8,0.00316241,0.837696755,0.837690786,-0.031311829,0.550832802,0.549942129,,,10.95749904,,22.95630206,8761.410274
13.9,0.00284449,0.837677848,0.837673019,-0.031073244,0.550247664,0.549369589,,,10.97173933,,22.92747626,8796.822003
14,0.00280097,0.837782896,0.837778213,-0.031320168,0.549585931,0.548692758,,,10.98788832,,22.89483881,8603.616501
14.1,0.002572838,0.837729165,0.837725214,-0.031027844,0.549066315,0.548188919,,,11.00060244,,22.86918209,8701.367088
14.2,0.002907707,0.837689279,0.837684233,-0.031151537,0.548571941,0.547686732,,,11.01272628,,22.84474829,8775.378413
14.3,0.003771681,0.837725994,0.837717503,-0.031196011,0.54781459,0.54692562,,,11.03135117,,22.80727274,8707.205681
14.4,0.002814713,0.837716895,0.837712166,-0.030965765,0.547511473,0.546635101,,,11.03882314,,22.79225868,8724.001711
14.5,0.002589329,0.837720971,0.83771697,-0.031007923,0.547093084,0.54621365,,,11.04915324,,22.77152078,8716.468919
14.6,0.001482106,0.837639451,0.83763814,-0.031119108,0.546592791,0.545706222,,,11.061531,,22.74670148,8869.627025
14.7,0.001630988,0.837682715,0.837681127,-0.031869607,0.546297471,0.545367083,,,11.06885052,,22.73203973,8787.680562
14.8,0.001982807,0.837705167,0.83770282,-0.031316462,0.545898626,0.544999623,,,11.07875134,,22.71222512,8745.747342
14.9,0.002134896,0.837751114,0.837748393,-0.031537442,0.545619964,0.544707752,,,11.08567928,,22.69837228,8661.169332
15,0.001985098,0.837654292,0.83765194,-0.031177944,0.545432407,0.544540583,,,11.09034709,,22.68904431,8841.344684
15.1,0.002099622,0.837782451,0.83777982,-0.03135584,0.545179312,0.544276854,,,11.09665222,,22.67645155,8604.41691
15.2,0.003128969,0.838778763,0.838772926,-0.031757959,0.544981754,0.544055645,,,11.10157878,,22.66661783,7120.936227
15.3,0.002968634,0.839133569,0.839128318,-0.031412822,0.544740357,0.543833882,,,11.10760453,,22.65459687,6709.013868
15.4,0.001998382,0.837835177,0.837832794,-0.030968082,0.544714961,0.543833952,,,11.10823883,,22.65333193,8510.587662
15.5,0.003318163,0.838338017,0.83833145,-0.030907856,0.544470457,0.543592479,,,11.11434949,,22.64115004,7708.893346
15.6,0.002808758,0.837952826,0.837948118,-0.030988466,0.544362199,0.543479455,,,11.11705724,,22.63575447,8308.42896
15.7,0.00277944,0.83769388,0.837689269,-0.03172553,0.544478394,0.543553321,,,11.11415102,,22.64154557,8766.776653
15.8,0.00331175,0.837594967,0.83758842,-0.031057493,0.544077876,0.543190728,,,11.12417498,,22.6215786,8955.493401
15.9,0.003252655,0.837665526,0.837659211,-0.031283106,0.54399897,0.543098745,,,11.12615194,,22.61764309,8820.055039
16,0.003901322,0.837711487,0.837702403,-0.031498527,0.543769517,0.542856455,,,11.13190476,,22.60619557,8734.014608
16.1,0.003050176,0.837585829,0.837580275,-0.030922681,0.543804307,0.542924408,,,11.13103212,,22.60793159,8973.339605
16.2,0.003371761,0.837416783,0.837409995,-0.03083327,0.543767849,0.542892976,,,11.13194659,,22.60611236,9316.781832
16.3,0.003342901,0.83740056,0.837393888,-0.031443398,0.543977841,0.543068323,,,11.12668144,,22.61658915,9351.128036
16.4,0.003908652,0.837864033,0.837854916,-0.031213615,0.543731438,0.542834769,,,11.13286005,,22.6042953,8460.099211
16.5,0.003496364,0.837658333,0.837651036,-0.031462392,0.543800332,0.542889417,,,11.13113183,,22.60773323,8833.67453
16.6,0.003252655,0.837465011,0.837458695,-0.031684762,0.543769799,0.542845899,,,11.13189768,,22.60620966,9216.147174
16.7,0.003467045,0.837814278,0.837807105,-0.031498527,0.543176132,0.542262071,,,11.14680968,,22.57656796,8547.532329
16.8,0.00280601,0.838169696,0.838164999,-0.031328507,0.543216808,0.542312664,,,11.14578668,,22.5786,7959.887956
16.9,0.003323202,0.837292389,0.837285794,-0.03113347,0.542834771,0.541941229,,,11.15540225,,22.55950856,9586.782007
17,0.00313584,0.837563727,0.837557857,-0.031369738,0.542738371,0.541831042,,,11.15783119,,22.55468897,9016.79716
17.1,0.002718971,0.837994835,0.837990424,-0.031389195,0.542637756,0.541729132,,,11.16036744,,22.54965773,8238.550969
17.2,0.002341498,0.838040529,0.838037258,-0.031017188,0.542506098,0.541618686,,,11.16368796,,22.5430727,8163.865432
17.3,0.003242119,0.838324031,0.838317762,-0.030778604,0.542334021,0.541459942,,,11.16803085,,22.53446356,7729.143292
17.4,0.002855026,0.837738789,0.837733924,-0.030691972,0.542233255,0.541363931,,,11.17057557,,22.52942082,8683.694534
17.5,0.003454219,0.837484504,0.83747738,-0.030513149,0.542175676,0.541316369,,,11.17203019,,22.52653887,9176.088186
17.6,0.003671357,0.837379241,0.837371193,-0.031555046,0.542003645,0.54108431,,,11.17637841,,22.51792659,9396.65019
17.7,0.002689653,0.838117522,0.838113206,-0.031666695,0.542283198,0.541357818,,,11.1693142,,22.53192025,8041.040751
17.8,0.002070304,0.838507059,0.838504503,-0.031448494,0.542383966,0.541471476,,,11.16677,,22.53696262,7472.26463
17.9,0.002424414,0.838875346,0.838871843,-0.031442008,0.542338471,0.541426281,,,11.1679185,,22.53468623,7003.876516
18,0.003129885,0.83762265,0.837616802,-0.031804286,0.541813963,0.540879708,,,11.18117672,,22.50842729,8901.863745
18.1,0.002256292,0.83799443,0.837991393,-0.032453329,0.541958239,0.540985687,,,11.17752667,,22.51565292,8239.218182
18.2,0.003199974,0.839943071,0.839936975,-0.032092441,0.54175925,0.540807877,,,11.18256155,,22.5056866,5926.801298
18.3,0.003050176,0.837465824,0.83746027,-0.031316462,0.541387846,0.54048134,,,11.19197106,,22.48707468,9214.468864
18.4,0.00303002,0.838411144,0.838405669,-0.031720434,0.541326496,0.540396327,,,11.19352688,,22.48399901,7604.713557
18.5,0.002926489,0.837643326,0.837638213,-0.031654186,0.541345573,0.540419321,,,11.19304304,,22.48495544,8862.22577
18.6,0.002554972,0.838583889,0.838579997,-0.032288868,0.54160057,0.540637222,,,11.18657977,,22.49773639,7369.451665
18.7,0.002801429,0.838001856,0.837997173,-0.032103096,0.541442914,0.540490352,,,11.1905749,,22.48983512,8226.986646
18.8,0.003172488,0.838421161,0.838415158,-0.032209649,0.541131122,0.540171667,,,11.19848442,,22.47420185,7590.662313
18.9,0.003189438,0.837690999,0.837684927,-0.03162361,0.541082293,0.54015738,,,11.19972412,,22.47175271,8772.1612
19,0.003380007,0.837360219,0.837353397,-0.032109582,0.541262403,0.540309137,,,11.19515274,,22.48078541,9437.645708
19.1,0.002832121,0.837989535,0.83798475,-0.032138768,0.541423919,0.540469203,,,11.19105647,,22.48888294,8247.300976
19.2,0.002258124,0.838014758,0.838011716,-0.032526063,0.541279434,0.540301287,,,11.19472067,,22.48163938,8205.81923
19.3,0.002698356,0.838017572,0.838013227,-0.032161005,0.541013459,0.540056694,,,11.2014722,,22.46829976,8201.218242
19.4,0.002790434,0.838055654,0.838051008,-0.031556899,0.540714721,0.539793082,,,11.20906511,,22.45330879,8139.442016
19.5,0.003007115,0.838062382,0.838056987,-0.03180336,0.54040948,0.539472847,,,11.21683394,,22.43798259,8128.624244
19.6,0.002754244,0.838130809,0.838126284,-0.031737575,0.540329862,0.539396966,,,11.21886209,,22.4339835,8020.216499
19.7,0.002942981,0.838188241,0.838183074,-0.032021097,0.540205894,0.539256022,,,11.22202149,,22.42775548,7931.436294
19.8,0.003318163,0.838151704,0.838145136,-0.031479533,0.54009758,0.539179409,,,11.22478336,,22.42231273,7987.68719
19.9,0.003242577,0.838119602,0.838113329,-0.031227977,0.540075791,0.539172211,,,11.22533915,,22.42121765,8037.77329
20,0.003075371,0.838189062,0.83818342,-0.030986149,0.539864729,0.538974753,,,11.23072542,,22.41060811,7930.181227
20.1,0.003009863,0.838042318,0.838036913,-0.031243265,0.539730761,0.538825717,,,11.23414697,,22.40387162,8160.96845
20.2,0.003012612,0.838366986,0.838361573,-0.031174237,0.539516081,0.538614676,,,11.23963424,,22.39307293,7667.283551
